41;830098811;"Fundacion Para La Prevencion Y Rehabilitacion De La Drogadiccion Y El Alcoholismo Liberate";Tuna Alta;nn/A;Tv. 77 # 166 - 40 ;4.670567,-74.104426
42;900090186;Bonanza;Bonanza;Engativ�;Carrera  72 A # 71 A - 14;4.687436,-74.096400
43;900499361;Corporacion Cristo Siervo;La Alameda Del Parque;Bosa;Calle 74 Sur # 78 - 01 ;4.693620,-74.099237
44;900635736;Cdies;El Corubo;Usme;Carrera 2 Este # 79-20 Sur A ;4.510785,-74.110367
45;860021793;Asociacion Parque El Canada;Santa Ines;San Crist�bal ;Carrera  5 Este # 28 A - 20 Sur;4.584032,-74.072871
46;860527146;"Asociaci�n De Padres De Familia Hogar Infantil Guacamayas";Guacamayas Ii Sector;San Cristobal ;Carrera 2 G # 37 A 60 Sur;4.554660,-74.096768
47;830083596;"Fundacion Arte Y Cultura Para El Desarrollo Infantil Fundaci";Chapinero;Chapinero;�Calle 61 #7-44;4.646759,-74.061224
48;900349408;Fundacion Huellas De Arte Y Cultura - Funhac ;nueva Zelandia;Suba;Calle 176 # 52 - 10;4.758242,-74.050489
49;900216738;Corporacion Senderos De Esperanza;Patio Bonito;Kennedy;Calle 38 Sur #93B-02;4.644943,-74.169874
50;900375471;Fundacion Alegrando Vidas;Escala Il Sector;Ciudad Bolivar;Carrera 18M # 61D-56 Sur;4.556595,-74.139704
51;830068106;Fundaci�n Mujer Del nuevo Milenio- Casa Rosada;Patio Bonito ;Kennedy;Calle 1Bis #87-30;4.579767,-74.110516
52;830143151;Fundaci�n Misionera Divina Redenci�n  San Felipe;Suba;Suba;Carrera  90 #148-55;4.733138,-74.116239
53;860010457;Hermanas Del ni�o Jesus Pobre;Boyaca Real;Teusaquillo;Av. Boyaca #66A-61;4.681706,-74.099464
54;900659667;Fundacion Recojamos Semillitas;Ciudad Gal�n;Kennedy;Carrera  96 B # 38 C - 32;4.647273,-74.173196
55;830120135;Corporacion Escuela Popular Infantil Epi;Villa nidia;Usaqu�n;Calle 160C #11-51;4.738543,-74.038468
56;900512828;Fundacion Lucero Azul;La Flora;Usme;Calle75 A Sur # 12Este - 55;4.515311,-74.094061
57;900311662;Fundacion Para La Vida Y La Paz- Funvipaz Cazuca;El Espino;Ciudad Bol�var;Calle 68B Bis # 77-10;4.579947,-74.178747
58;830027812;Parroquia Maria Reina De Los Ap�stoles;Juan Pablo Ii;Ciudad Bol�var;Carrera 18 Q #67A-52 Sur ;4.598112,-74.088655
59;830062192;Fundacion Amigos De Jesus Y Maria;Calle Villa Liliana;Kennedy;Carrera  81B # 15A-30;4.654796,-74.136533
60;830091082;Fundaci�n Arka Educaci�n Semilla De Paz;Bosa - Libertad Ii;Bosa;Carrera  89 Bis # 69 - 09 ;4.636246,-74.172939
61;900489250;"Asociacion De Madres Cabeza De Familia Hacia Un Futuro Mejor Asomejor";Barcelona S.O;San Crist�bal ;Calle 35 Bis # 8 A - 45 Sur ;4.565547,-74.102393
62;900377699;Fundacion Liceo Infantil La Esperanza;Suba Lisboa;Engativ�;Carrera  154 # 135 - 09;4.743312,-74.124887
63;800000791;Fundacion San Martin De Tours;San Martin Loba;San Cristobal ;Carrera  1 Bis # 42-19 Sur;4.550446,-74.099459
64;830096512;Corporacion Ambiental Planeta Cristal;San Francisco;Bosa;Carrera  20F # 62 -67 Sur;4.650274,-74.070244
65;900599500;Fundacion Refugio De Amor El natan;La Victoria;San Crist�bal ;Carrera  3 Este  # 43-32;4.703534,-74.227409
66;860504924;Fundacion Voluntariado Juan Pablo Ii;Sta Sofia;Barrios Unidos;Carrera  28A #75-24;4.668301,-74.067757
67;830135084;Fundacion Social La Cosecha;Britalia norte;Suba;Calle 163 # 48 - 48;4.736372,-74.020511
68;860016941;Sociedad Vecinal De Suba;Suba;Suba;Carrera  98 # 156C;4.755618,-74.084947
69;860013666;Congregacion Hermanas Oblatas De Betania;nogal;Chapinero;Carrera  8 #75-42;4.658560,-74.054127
70;832003327;Parroquia San Antonio De Padua Capi;Cogua ;Usme ;Calle 4 #3-44;5.024271,-74.007294
71;900126032;Reingenieria De Corazones Paraun nuevo Amanecer;Sta Barabara;Usaqu�n;Carrera  6 #5-99;4.590431,-74.078591
72;830132837;Asociacion El Regreso A Emaus;Virrey;Chapinero;Calle 93B #0-51 Sur;4.647611,-74.165865
73;900359706;Fundacion Prosperarte;Diana Turbay;Rafael Uribe;Calle 48P sur # 0 -33 Este;4.585974,-74.131783
74;900567053;Asociacion Globalisa Solidaria;Suram�rica;San Crist�bal ;Calle 28 Sur #4-24;4.567367,-74.094385
75;900769929;Fundacion Pasos Dorados;Modelia;Fontib�n;Calle 23 # 75-33;4.663342,-74.123349
76;860010523;Fundacion Gota De Leche;Santa Fe;Santa F�;Carrera  9  # 20 - 42;4.607700,-74.072463
77;900269604;Fundacion Educativa Creciendo;Sabana Tibabuyes;Suba;Transversal 127C # 139B - 48;4.747106,-74.108568
78;900695276;Fundacion Proyecto El Ser Social;Santa Ines;Bosa;Calle 70B Sur # 89A-67;4.626943,-74.199195
79;900340234;Fundacion Solidaria Creer;Juan Jose Rondon - Alto De La Cruz;Ciudad Bol�var;Carrera  20 # 67-92;4.657406,-74.067342
80;830065150;Asociaci�n De La Tercera Edad Barrio Estrella Del Sur - Localidad  19 Astebes;Estrella Del Sur ;Ciudad Bol�var;Calle 75 # 18 D - 57 Sur;4.542345,-74.143293
81;830045172;Fundacion Mujer Del nuevo Milenio;Barrio La Roca;San Crist�bal ;Calle 6 D #8-63 Este;4.577393,-74.077098
82;900317029;Fundacion Martha Chacon Creciendo Para El Ma�ana;Britalia;Kennedy;Carrera  80 J # 51 - 19;4.674886,-74.068931
83;900356216;Fundacion Social Servir Con Experiencia;Mandalay;Fontib�n;Calle 5 B # 78 C - 26;4.606528,-74.100165
84;900119083;Fundacion Social Castillo San Lucas;Maria Cano;Ciudad Bol�var;Carrera  74I #62-03;4.675000,-74.080162
85;900223205;Fundacion Semilla De Vida Tierra Fe;Juan Pablo Ii;Ciudad Bol�var;Calle 67A # 18 - 76 ;4.554640,-74.146430
86;900551118;Creciendo Y Jugando;Zarazota;Rafael Uribe;Carrera  9 A # 48 C - 30 ;4.701607,-74.032639
87;830146564;Hogar Gerontol�gico Ayudamos Con Cari�o Eu;Teusaquilla;Teusaquillo;Calle 29 #17-18;4.619061,-74.073744
88;830142033;Asociaci�n Los Din�micos De Las Villas Adultos Mayores Villas Del Sol ;Villas Del Sol;Rafael Uribe;Calle 48C Sur #10C-16;4.563706,-74.113340
89;830146011;Parroquia  Santa Maria De La Rivera ;La Rivera;Kennedy;Carrera  97D #42A-26 Sur;4.645961,-74.176826
90;860047327;Comunitario - Fisdeco  ;Lucero Alto;Ciudad Bolivar;Calle 69C #17F-41 Sur;4.548989,-74.139622
91;800041573;Congregaci�n Hermanas De La Caridad De Montreal Hermanas Grises;Paraiso;Martires;Carrera  27L # 71G-09;4.663833,-74.068562
92;800185423;Cooperativa Multiactiva Alternativa Social Ltda;Casa Linda;Ciudad Bolivar;Carrera  22 Sur #58-26 Casa 2;4.611554,-74.127205
93;830091306;Corporaci�n Para El Desarrollo  Comunitario El Buen Samaritano;La Rivera;Kennedy;Carrera  97 A Bis # 42 A - 13 Sur;4.645278,-74.177038
94;860006696;"Hijas De La Caridad De San Vicente De Pa�l Centro Ambulatorio Medalla Milagrosa";Samper Mendoza;Usme;Calle 22C #26C-35;4.620437,-74.082077
95;900170000;Corporaci�n Misi�n Vida Colombia;Bolivia;Martires;Carrera  109 #81-39;4.717556,-74.115284
96;900336416;Parroquia nuestra Se�ora Del Sant�simo SaCarrera mento;Los Alpes;Ciudad Bol�var;Calle 75 Bis A Sur #25-48;4.541755,-74.155536
97;900017812;Fundaci�n Centro De Desarrollo Integral Herederos;Santa Ana ;Soacha;Carrera  12 #10-26  ;4.600756,-74.080127
98;830082318;Fundaci�n Geriatrica La Ternura De Mis Abuelitos   ;Sta Sofia;Barrios Unidos;Carrera  31 #78-26;4.602814,-74.102937
99;900415825;Fundacion Turismo Con Proposito;San Francisco;Ciudad Bol�var;Avenida Villavicencio 20 D - 53 Sur ;4.550916,-74.089959
100;900298439;Fundacion Colombiana Brazos Abiertos ;Villa Emilia ;Fontib�n;Carrera 80 I #42 A - 17 Sur ;4.622491,-74.163527
101;860006881;Fundaci�n Central De Juventudes;Salitre Greco;Engativ�;Av 68 #49A - 95;4.661169,-74.098641
102;830011345;Asociaci�n Mujeres Del Rio�;Trinidad G.;Puente Aranda ;Diagonal6B #78A-70;4.631784,-74.147024
103;860045094;Fundaci�n Colegio Santa Maria;San Antonio;Antonio nari�o;Carrera  11 #185B-17;4.763216,-74.03286
104;860007314;"Congregaci�n De Las Siervas De Cristo Sacerdote Hogar Callearita Santos    ";Cruces;Santa F�;Carrera  8 #1F-13;4.589317,-74.081771
105;890980007;"Congregaci�n De Hermanas Misioneras De Santa Teresita Del ni�o ";Ciudad Jard�n Sur - nueva;Antonio nari�o;Carrera  12 B # 18 - 27 Sur;4.569933,-74.235066
106;900314972;Fundaci�n Red De Amigos;Isla Del Sol;Tunjuelito ;Calle 67 B Sur # 62 04;4.590214,-74.151566
107;832005332;Asoc Jireh Provision De Amor ;Verdala -  Cota;Suba;Carrera  6B #12-39;4.811339,-74.102876
108;800200505;Asociaci�n De Padres De Hogares De Bienestar El Amparo De Los ni�os;El Olivo;Chapinero;"Cr  10 A 67-46";4.652488,-74.060580
109;830125802;Fundaci�n Por Un Mundo nuevo Para La Protecci�n De Los ni�os, Jovenes Y Familia    ;Estrada;Engativ�;Carrera  69A #71A-06;4.681116,-74.089043
110;832000645;Asociacion De Padres Usuarios Y Hogares De Bienestar Santa Ana;Santa Ana Compartir ;Suba;Carrera  11B # 7B-22 ;4.713674,-74.230293
111;890400063;Denominaci�n ECalleesiastica  Iglesias  Evangelicas Del Caribe Pasos De Fe;Suba;Suba;Av Alfonso Lopez #15-148;4.631345,-74.066644
112;830045220;Asociaci�n De Padres De Familia Ecos Y Sonrisas Del Futuro;La Rivera;Kennedy;Calle 70D Bis #113-72;4.711778,-74.130423
113;800040208;Asociacion Prodefensa Del ni�o Y La ni�a Del Barrio Villa nidia;Cerro norte;Usaqu�n;Callee 160 C Bis  # 1 B 11 ;4.743305,-74.058287
114;860531776;Fundaci�n Fiambre;Altos Cazuka;Rafael Uribe;Carrera  1A #11-07 ;4.582363,-74.076985
115;900158448;Parroquia Maria De La Paz;Fontibon ;Santa F�;Carrera  82C # 5A - 28 Sur;4.637133,-74.158043
