900310341;"Corporacion Red De Mujeres Por La Paz Y Los Derechos Humanos";Castilla;Kennedy;Carrera  72B # 9 - 73;4.643471, -74.136708
830122807;Fundacion Aprender;normandía I Sector;Engativá;Carrera  71 # 53 - 52;4.670567, -74.104426
830097746;Fundacion Gerontologica Refugio De Las Canitas;Modelia;Fontibón;Carrera  81 C # 22 C - 22;4.663103, -74.127561
860067294;Fundacion Centro Para El Reintegro Y La Atencion Del niño-Carrera n;Casablanca;Suba;Transversal77 # 162 - 06;4.749279, -74.073031
830098811;"Fundacion Para La Prevencion Y Rehabilitacion De La Drogadiccion Y El Alcoholismo Liberate";Tuna Alta;nn/A;Tv. 77 # 166 - 40 ;4.670567, -74.104426
900090186;Bonanza;Bonanza;Engativá;Carrera  72 A # 71 A - 14;4.687436, -74.096400 
900499361;Corporacion Cristo Siervo;La Alameda Del Parque;Bosa;Calle 74 Sur # 78 - 01 ;4.693620, -74.099237
900635736;Cdies;El Corubo;Usme;Carrera 2 Este # 79-20 Sur A ;4.510785, -74.110367
860021793;Asociacion Parque El Canada;Santa Ines;San Cristóbal ;Carrera  5 Este # 28 A - 20 Sur;4.584032, -74.072871
830117795;Asociación Pan De Vida Cer -Comedor Buenos Aires;;Barrios Unidos;Carrera  48 # 93 - 86;4.671945, -74.088138
860527146;"Asociación De Padres De Familia Hogar Infantil Guacamayas";Guacamayas Ii Sector;San Cristobal ;Carrera 2 G # 37 A 60 Sur;4.554660, -74.096768
830083596;"Fundacion Arte Y Cultura Para El Desarrollo Infantil Fundaci";Chapinero;Chapinero; Calle 61 #7-44;4.646759, -74.061224
900349408;Fundacion Huellas De Arte Y Cultura - Funhac ;nueva Zelandia;Suba;Calle 176 # 52 - 10;4.758242, -74.050489
900216738;Corporacion Senderos De Esperanza;Patio Bonito;Kennedy;Calle 38 Sur #93B-02;4.644943, -74.169874
900375471;Fundacion Alegrando Vidas;Escala Il Sector;Ciudad Bolivar;Carrera 18M # 61D-56 Sur;4.556595, -74.139704
830068106;Fundación Mujer Del nuevo Milenio- Casa Rosada;Patio Bonito ;Kennedy;Calle 1Bis #87-30;4.579767, -74.110516
830143151;Fundación Misionera Divina Redención  San Felipe;Suba;Suba;Carrera  90 #148-55;4.733138, -74.116239
860010457;Taller Pedagogico Madre Calleara Fey;;Teusaquillo;Av 66A #61;4.591680, -74.156907
860010457;Hermanas Del niño Jesus Pobre;Boyaca Real;Teusaquillo;Av. Boyaca #66A-61;4.681706, -74.099464
900216738;Corporacion Senderos De Esperanza;Patio Bonito;Puente Aranda ;Calle 38 Sur #93B-02;4.644943, -74.169874
900659667;Fundacion Recojamos Semillitas;Ciudad Galán;Kennedy;Carrera  96 B # 38 C - 32;4.647273, -74.173196
830120135;Corporacion Escuela Popular Infantil Epi;Villa nidia;Usaquén;Calle 160C #11-51;4.738543, -74.038468
900512828;Fundacion Lucero Azul;La Flora;Usme;Calle75 A Sur # 12Este - 55;4.515311, -74.094061
900311662;Fundacion Para La Vida Y La Paz- Funvipaz Cazuca;El Espino;Ciudad Bolívar;Calle 68B Bis # 77-10;4.579947, -74.178747
830027812;Parroquia Maria Reina De Los Apóstoles;Juan Pablo Ii;Ciudad Bolívar;Carrera 18 Q #67A-52 Sur ;4.598112, -74.088655
830062192;Fundacion Amigos De Jesus Y Maria;Calle Villa Liliana;Kennedy;Carrera  81B # 15A-30;4.654796, -74.136533
830091082;Fundación Arka Educación Semilla De Paz;Bosa - Libertad Ii;Bosa;Carrera  89 Bis # 69 - 09 ;4.636246, -74.172939
900489250;"Asociacion De Madres Cabeza De Familia Hacia Un Futuro Mejor Asomejor";Barcelona S.O;San Cristóbal ;Calle 35 Bis # 8 A - 45 Sur ;4.565547, -74.102393
900377699;Fundacion Liceo Infantil La Esperanza;Suba Lisboa;Engativá;Carrera  154 # 135 - 09;4.743312, -74.124887
800000791;Fundacion San Martin De Tours;San Martin Loba;San Cristobal ;Carrera  1 Bis # 42-19 Sur;4.550446, -74.099459
830096512;Corporacion Ambiental Planeta Cristal;San Francisco;Bosa;Carrera  20F # 62 -67 Sur;4.650274, -74.070244
900599500;Fundacion Refugio De Amor El natan;La Victoria;San Cristóbal ;Carrera  3 Este  # 43-32;4.703534, -74.227409
900363825;Bethel;Fontibón - Villemar;Fontibón;Carrera  96 G # 21 - 11;4.673306, -74.138210
860504924;Fundacion Voluntariado Juan Pablo Ii;Sta Sofia;Barrios Unidos;Carrera  28A #75-24;4.668301, -74.067757
830057865;Fundacion Cuna Del Arte;;Ciudad Bolívar;Carrera  49B #59B-35 Sur;4.714600, -74.056300
830135084;Fundacion Social La Cosecha;Britalia norte;Suba;Calle 163 # 48 - 48;4.736372, -74.020511
860016941;Sociedad Vecinal De Suba;Suba;Suba;Carrera  98 # 156C;4.755618, -74.084947
860013666;Congregacion Hermanas Oblatas De Betania;nogal;Chapinero;Carrera  8 #75-42;4.658560, -74.054127
832003327;Parroquia San Antonio De Padua Capi;Cogua ;Usme ;Calle 4 #3-44;5.024271, -74.007294
900126032;Reingenieria De Corazones Paraun nuevo Amanecer;Sta Barabara;Usaquén;Carrera  6 #5-99;4.590431, -74.078591
830132837;Asociacion El Regreso A Emaus;Virrey;Chapinero;Calle 93B #0-51 Sur;4.647611, -74.165865
900359706;Fundacion Prosperarte;Diana Turbay;Rafael Uribe;Calle 48P sur # 0 -33 Este;4.585974, -74.131783
900567053;Asociacion Globalisa Solidaria;Suramérica;San Cristóbal ;Calle 28 Sur #4-24;4.567367, -74.094385
830018298;Parroquia Cristo De La Paz;;Usme;Carrera  1B #76B-15 ;4.581564, -74.078137
900769929;Fundacion Pasos Dorados;Modelia;Fontibón;Calle 23 # 75-33;4.663342, -74.123349
860010523;Fundacion Gota De Leche;Santa Fe;Santa Fé;Carrera  9  # 20 - 42;4.607700, -74.072463
900269604;Fundacion Educativa Creciendo;Sabana Tibabuyes;Suba;Transversal 127C # 139B - 48;4.747106, -74.108568
900695276;Fundacion Proyecto El Ser Social;Santa Ines;Bosa;Calle 70B Sur # 89A-67;4.626943, -74.199195
900340234;Fundacion Solidaria Creer;Juan Jose Rondon - Alto De La Cruz;Ciudad Bolívar;Carrera  20 # 67-92;4.657406, -74.067342
830065150;Asociación De La Tercera Edad Barrio Estrella Del Sur - Localidad  19 Astebes;Estrella Del Sur ;Ciudad Bolívar;Calle 75 # 18 D - 57 Sur;4.542345, -74.143293
900241576;Fundacion Una Puerta Abierta Para Ti;;Ciudad Bolívar;Calle 70 S # 48 A - 14;4.656510, -74.062686
830045172;Fundacion Mujer Del nuevo Milenio;Barrio La Roca;San Cristóbal ;Calle 6 D #8-63 Este;4.577393, -74.077098
900317029;Fundacion Martha Chacon Creciendo Para El Mañana;Britalia;Kennedy;Carrera  80 J # 51 - 19;4.674886, -74.068931
900356216;Fundacion Social Servir Con Experiencia;Mandalay;Fontibón;Calle 5 B # 78 C - 26;4.606528, -74.100165
900119083;Fundacion Social Castillo San Lucas;Maria Cano;Ciudad Bolívar;Carrera  74I #62-03;4.675000, -74.080162
900223205;Fundacion Semilla De Vida Tierra Fe;Juan Pablo Ii;Ciudad Bolívar;Calle 67A # 18 - 76 ;4.554640, -74.146430
